代號,名稱,TESG評等季度_x,TESG評等公告日_x,採用永續報告書年度_x,採用永續報告書是否驗證_x,交易所產業名_x,SASB主產業_x,SASB子產業_x,TESG等級,TESG分數,TESG升降等,TESG全產業排名,TESG_SASB主產業排名,TESG_SASB子產業排名,TESG_交易所產業排名,事件雷達轉換計分,環境構面分數,社會構面分數,公司治理構面分數,環境構面_SASB主產業排名,環境構面_SASB子產業排名,社會構面_SASB主產業排名,社會構面_SASB子產業排名,公司治理構面_SASB主產業排名,公司治理構面_SASB子產業排名,年度,TESG評等季度_y,TESG評等公告日_y,採用永續報告書年度_y,採用永續報告書是否驗證_y,交易所產業名_y,SASB主產業_y,SASB子產業_y,溫室氣體排放_分數,能源管理_分數,用水及廢水管理_分數,廢棄物及有毒物質管理_分數,環境構面揭露項_分數,人權及社區關係_分數,資料安全_分數,產品品質及安全_分數,員工資訊統計_分數,員工健康及安全_分數,社會構面揭露項_分數,控制股權與席次_分數,公平對待利害關係人_分數,公司治理資訊透明度_分數,公司治理構面揭露項_分數,管理領導_分數,商業模式和創新程度_分數,溫室氣體排放_SASB主產業排名,溫室氣體排放_SASB子產業排名,能源管理_SASB主產業排名,能源管理_SASB子產業排名,用水及廢水管理_SASB主產業排名,用水及廢水管理_SASB子產業排名,廢棄物及有毒物質管理_SASB主產業排名,廢棄物及有毒物質管理_SASB子產業排名,環境構面揭露項_SASB主產業排名,環境構面揭露項_SASB子產業排名,人權及社區關係_SASB主產業排名,人權及社區關係_SASB子產業排名,資料安全_SASB主產業排名,資料安全_SASB子產業排名,產品品質及安全_SASB主產業排名,產品品質及安全_SASB子產業排名,員工資訊統計_SASB主產業排名,員工資訊統計_SASB子產業排名,員工健康及安全_SASB主產業排名,員工健康及安全_SASB子產業排名,社會構面揭露項_SASB主產業排名,社會構面揭露項_SASB子產業排名,控制權與席次_SASB主產業排名,控制權與席次_SASB子產業排名,公平對待利害關係人_SASB主產業排名,公平對待利害關係人_SASB子產業排名,公司治理資訊透明度_SASB主產業排名,公司治理資訊透明度_SASB子產業排名,公司治理構面揭露項_SASB主產業排名,公司治理構面揭露項_SASB子產業排名,管理領導_SASB主產業排名,管理領導_SASB子產業排名,商業模式和創新程度_SASB主產業排名,商業模式和創新程度_SASB子產業排名,簽證事務所,事務所_產業市佔率_家數／上市櫃興櫃家數 %,事務所_產業市佔率_營收／上市櫃興櫃營收 %,事務所_產業市佔率_資產／上市櫃興櫃資產 %,事務所_產業市佔率排名_家數(上市櫃興櫃),事務所_產業市佔率排名_營收(上市櫃興櫃),事務所_產業市佔率排名_資產(上市櫃興櫃),CPA1_產業市佔率_家數／上市櫃興櫃家數 %,CPA1_產業市佔率_營收／上市櫃興櫃營收 %,CPA1_產業市佔率_資產／上市櫃興櫃資產 %,CPA1_產業市佔率排名_家數(上市櫃興櫃),CPA1_產業市佔率排名_營收(上市櫃興櫃),CPA1_產業市佔率排名_資產(上市櫃興櫃),CPA2_產業市佔率_家數／上市櫃興櫃家數 %,CPA2_產業市佔率_營收／上市櫃興櫃營收 %,CPA2_產業市佔率_資產／上市櫃興櫃資產 %,CPA2_產業市佔率排名_家數(上市櫃興櫃),CPA2_產業市佔率排名_營收(上市櫃興櫃),CPA2_產業市佔率排名_資產(上市櫃興櫃),事務所_產業市佔率_家數／公發家數 %,事務所_產業市佔率_營收／公發營收 %,事務所_產業市佔率_資產／公發資產 %,事務所_產業市佔率排名_家數(公發),事務所_產業市佔率排名_營收(公發),事務所_產業市佔率排名_資產(公發),CPA1_產業市佔率_家數／公發家數 %,CPA1_產業市佔率_營收／公發營收 %,CPA1_產業市佔率_資產／公發資產 %,CPA1_產業市佔率排名_家數(公發),CPA1_產業市佔率排名_營收(公發),CPA1_產業市佔率排名_資產(公發),CPA2_產業市佔率_家數／公發家數 %,CPA2_產業市佔率_營收／公發營收 %,CPA2_產業市佔率_資產／公發資產 %,CPA2_產業市佔率排名_家數(公發),CPA2_產業市佔率排名_營收(公發),CPA2_產業市佔率排名_資產(公發),市值_avg,ROA_avg
2801,彰銀,2022/12,2022/11/01,2021.0,Y,金融業,金融,商業銀行,A+,73.56,-,,,,,76.49,52.3,84.28,69.31,,,,,,,2022,2022/12,2022/11/01,2021.0,Y,金融業,金融,商業銀行,1.72,95.98,2.87,86.21,69.1,95.98,96.55,69.54,78.74,85.63,71.61,62.64,53.45,91.95,69.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,勤業眾信聯合,53.85,55.56,55.85,1,1,1,2.56,1.17,3.2,6,16,14,1.28,0.5,1.63,20,28,22,34.07,46.71,47.29,1,1,1,1.91,0.93,2.2,15,26,19,0.48,0.27,0.76,49,38,32,186547086.25,0.2575
2801,彰銀,2021/12,2022/03/31,2020.0,Y,金融業,金融,商業銀行,A+,76.13,-,,,,,92.84,62.57,84.88,71.68,,,,,,,2021,2021/12,2022/03/31,2020.0,Y,金融業,金融,商業銀行,1.7,82.39,75.57,88.07,64.49,94.89,94.32,73.3,81.25,94.89,70.7,86.36,55.11,73.86,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,勤業眾信聯合,51.28,53.2,55.48,1,1,1,2.56,0.99,3.11,6,16,13,1.28,0.39,1.61,17,29,21,32.56,44.51,47.16,1,1,1,2.04,0.7,2.13,14,26,16,0.51,0.19,0.76,45,40,32,175201958.0,0.22749999999999998
2801,彰銀,2020/12,2022/03/31,2019.0,Y,金融業,金融,商業銀行,A+,79.27,-,,,,,99.18,65.67,86.31,76.38,,,,,,,2020,2020/12,2022/03/31,2019.0,Y,金融業,金融,商業銀行,3.89,88.33,81.67,91.11,63.93,91.67,96.11,75.0,86.11,97.22,71.66,88.89,52.22,92.78,71.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,勤業眾信聯合,50.0,50.53,54.43,1,1,1,3.75,4.65,5.23,5,7,7,1.25,0.36,1.53,18,29,20,32.26,45.05,47.26,1,1,1,2.56,2.72,3.39,11,12,12,0.51,0.19,0.74,41,37,30,187504166.25,0.225
2801,彰銀,2019/12,2022/03/31,2018.0,Y,金融業,金融,商業銀行,A+,73.66,-,,,,,66.03,68.75,83.57,70.04,,,,,,,2019,2019/12,2022/03/31,2018.0,Y,金融業,金融,商業銀行,8.15,90.76,92.93,91.85,,92.93,96.2,71.2,90.22,91.85,,86.41,54.89,76.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,勤業眾信聯合,52.5,50.29,53.97,1,1,1,1.25,0.45,1.55,17,28,19,1.25,0.45,1.55,17,28,19,36.29,44.92,46.61,1,1,1,0.5,0.23,0.74,39,38,28,0.5,0.23,0.74,39,38,28,207138907.75,0.355
2801,彰銀,2018/12,2022/03/31,2017.0,Y,金融業,金融,商業銀行,A+,67.4,-,,,,,65.28,67.28,81.85,55.4,,,,,,,2018,2018/12,2022/03/31,2017.0,Y,金融業,金融,商業銀行,2.75,93.41,86.26,93.41,,92.86,92.86,70.33,92.86,84.07,,25.82,56.04,77.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,勤業眾信聯合,47.5,31.13,39.63,1,1,1,2.5,1.17,3.04,11,18,11,1.25,0.54,1.63,19,31,22,32.28,25.04,32.65,1,3,1,1.49,0.86,2.07,18,24,19,0.5,0.27,0.77,42,39,31,169890530.5,0.395
2801,彰銀,2017/12,2022/03/31,2016.0,Y,金融業,金融,商業銀行,A+,69.6,-,,,,,64.17,78.3,81.55,59.38,,,,,,,2017,2017/12,2022/03/31,2016.0,Y,金融業,金融,商業銀行,81.87,89.01,69.78,93.96,,92.86,94.51,65.93,92.86,80.77,,25.82,57.14,92.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,勤業眾信聯合,48.72,26.27,39.78,1,3,1,2.56,1.14,3.12,9,17,10,1.28,0.52,1.71,18,32,24,35.25,22.05,32.87,1,3,2,1.4,0.8,2.08,19,23,20,0.47,0.25,0.8,43,42,34,158110386.0,0.375
2801,彰銀,2016/12,2022/03/31,2015.0,Y,金融業,金融,商業銀行,A+,67.51,-,,,,,62.5,76.4,82.29,54.42,,,,,,,2016,2016/12,2022/03/31,2015.0,Y,金融業,金融,商業銀行,90.76,45.11,91.85,96.74,,92.93,96.2,63.04,96.2,82.07,,24.46,56.52,74.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,勤業眾信聯合,47.5,24.12,39.16,1,3,1,2.5,1.25,3.28,9,18,13,1.25,0.58,1.84,20,30,21,36.67,20.96,32.83,1,3,2,1.4,0.84,2.15,21,25,19,0.47,0.26,0.85,42,41,31,144709022.0,0.4
2812,台中銀,2022/12,2022/11/01,2021.0,Y,金融業,金融,商業銀行,B,53.83,-,,,,,94.4,36.83,59.73,52.88,,,,,,,2022,2022/12,2022/11/01,2021.0,Y,金融業,金融,商業銀行,4.02,71.84,1.72,36.21,61.98,35.06,83.91,22.99,31.61,56.9,68.23,1.72,53.45,91.95,64.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,勤業眾信聯合,53.85,55.56,55.85,1,1,1,1.28,0.2,0.49,20,36,29,1.28,0.2,0.49,20,36,29,34.07,46.71,47.29,1,1,1,0.48,0.11,0.23,49,49,42,0.48,0.11,0.23,49,49,42,64279712.0,0.42000000000000004
2812,台中銀,2021/12,2022/03/31,2020.0,Y,金融業,金融,商業銀行,B,53.84,-,,,,,99.62,37.99,63.72,48.96,,,,,,,2021,2021/12,2022/03/31,2020.0,Y,金融業,金融,商業銀行,3.98,74.43,1.7,38.07,63.31,35.23,84.09,17.61,60.8,78.98,64.23,0.57,55.11,73.86,66.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,勤業眾信聯合,51.28,53.2,55.48,1,1,1,5.13,0.29,0.56,2,33,28,1.28,0.18,0.49,17,40,30,32.56,44.51,47.16,1,1,1,2.04,0.14,0.26,14,45,40,0.51,0.09,0.23,45,53,43,50343495.25,0.395
2812,台中銀,2020/12,2022/03/31,2019.0,Y,金融業,金融,商業銀行,B,53.43,-,,,,,98.76,33.49,63.94,49.03,,,,,,,2020,2020/12,2022/03/31,2019.0,Y,金融業,金融,商業銀行,7.22,36.67,5.0,41.11,66.45,36.11,77.78,31.67,53.89,85.0,67.19,1.67,52.22,73.33,68.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,勤業眾信聯合,50.0,50.53,54.43,1,1,1,6.25,0.9,2.62,1,18,13,3.75,8.87,5.66,5,5,6,32.26,45.05,47.26,1,1,1,4.1,2.94,3.58,3,9,10,2.56,5.1,4.0,11,6,7,42097088.5,0.345
