代號,名稱,年度,TESG分數,環境構面分數,社會構面分數,公司治理構面分數,市值_avg,ROA_avg
2801,彰銀,2022,73.56,52.3,84.28,69.31,186547086.25,0.2575
2801,彰銀,2021,76.13,62.57,84.88,71.68,175201958.0,0.22749999999999998
2801,彰銀,2020,79.27,65.67,86.31,76.38,187504166.25,0.225
2801,彰銀,2019,73.66,68.75,83.57,70.04,207138907.75,0.355
2801,彰銀,2018,67.4,67.28,81.85,55.4,169890530.5,0.395
2801,彰銀,2017,69.6,78.3,81.55,59.38,158110386.0,0.375
2801,彰銀,2016,67.51,76.4,82.29,54.42,144709022.0,0.4
2812,台中銀,2022,53.83,36.83,59.73,52.88,64279712.0,0.42000000000000004
2812,台中銀,2021,53.84,37.99,63.72,48.96,50343495.25,0.395
2812,台中銀,2020,53.43,33.49,63.94,49.03,42097088.5,0.345
2812,台中銀,2019,54.2,63.05,64.07,42.87,43178833.0,0.3875
2812,台中銀,2018,53.43,60.48,61.89,43.86,35062754.75,0.36
2812,台中銀,2017,55.31,47.4,67.25,46.47,32325846.25,0.3425
2812,台中銀,2016,52.97,63.76,53.06,50.07,29330516.75,0.355
2816,旺旺保,2022,63.27,63.39,63.79,62.76,3815311.25,
2816,旺旺保,2021,64.21,61.62,63.12,65.89,4491725.75,2.1825
2816,旺旺保,2020,63.99,60.84,64.81,64.06,4245624.0,3.0233333333333334
2816,旺旺保,2019,65.06,60.19,64.13,67.19,4363018.0,2.8024999999999998
2816,旺旺保,2018,65.22,63.78,65.42,67.21,4096818.0,2.42
2816,旺旺保,2017,61.49,66.35,59.07,68.72,3505854.0,2.405
2816,旺旺保,2016,56.9,60.3,61.97,64.2,2874960.0,0.7949999999999999
2820,華票,2022,55.48,61.42,59.42,50.33,21386638.0,0.345
2820,華票,2021,56.45,65.52,60.27,50.6,21907035.0,0.5425
2820,華票,2020,58.31,66.54,65.25,49.82,19741512.0,0.47
2820,華票,2019,57.24,63.35,63.48,49.94,19959743.0,0.395
2820,華票,2018,59.12,66.25,64.78,52.1,19120393.0,0.4125
2820,華票,2017,59.75,66.97,66.37,51.83,19842234.0,0.3975
